,Unnamed: 0,cardinality,dimensionality,number of clusters,number of iterations,label mode,centroid mode,round,total time,label time,centroid time,cum_data_transfer,n_data_transfer,std_data_transfer,max_data_transfer,min_data_transfer,cum_centroids_transfer,n_centroids_transfer,std_centroids_transfer,max_centroids_transfer,min_centroids_transfer,cum_labels_transfer,n_labels_transfer,std_labels_transfer,max_labels_transfer,min_labels_transfer,cum_dists_transfer,n_dists_transfer,std_dists_transfer,max_dists_transfer,min_dists_transfer,cum_kernel,n_kernel,std_kernel,max_kernel,min_kernel
774,774,10000.0,200.0,512.0,3.0,numba,numba,0.0,2.3672349453,2.36350107193,0.00299692153931,,,,,,,,,,,,,,,,,,,,,,,,,
775,775,10000.0,200.0,512.0,3.0,numba,numba,1.0,2.40241503716,2.39884209633,0.00299787521362,,,,,,,,,,,,,,,,,,,,,,,,,
776,776,10000.0,200.0,512.0,3.0,numba,numba,2.0,2.39248108864,2.3889529705,0.0029878616333,,,,,,,,,,,,,,,,,,,,,,,,,
777,777,10000.0,200.0,512.0,3.0,cuda,numba,0.0,1.06128621101,1.05758905411,0.00313901901245,0.00143270397186,1.0,0.0,0.00143270397186,0.00143270397186,0.000793375998735,3.0,8.93560344137e-06,0.000276928007603,0.000256448000669,9.24800001085e-05,3.0,8.01208597357e-07,3.19040007889e-05,2.99839992076e-05,0.00013577600196,3.0,1.60900535698e-06,4.74560000002e-05,4.36480008066e-05,1.05428564453,3.0,0.000135655451659,0.351596191406,0.351263946533
778,778,10000.0,200.0,512.0,3.0,cuda,numba,1.0,1.0619828701,1.05805587769,0.00315117835999,0.00139868795872,1.0,0.0,0.00139868795872,0.00139868795872,0.00078787201643,3.0,7.40332940168e-06,0.000273088008165,0.000257088005543,8.82560014725e-05,3.0,1.01338915024e-06,3.03039997816e-05,2.80000008643e-05,0.0001329279989,3.0,6.03384819994e-08,4.43519987166e-05,4.42240014672e-05,1.05478997803,3.0,0.000195541986643,0.351871582031,0.351433349609
779,779,10000.0,200.0,512.0,3.0,cuda,numba,2.0,1.06135010719,1.05746603012,0.00313019752502,0.0014038079977,1.0,0.0,0.0014038079977,0.0014038079977,0.000787711977959,3.0,3.34337855161e-06,0.000267295986414,0.000260064005852,8.92159994692e-05,3.0,1.85366671435e-07,2.99839992076e-05,2.95359995216e-05,0.000131903998554,3.0,7.3158129281e-07,4.46080006659e-05,4.29439991713e-05,1.05427905273,3.0,0.000165034537344,0.351609008789,0.351209197998
780,780,10000.0,200.0,1024.0,3.0,numba,numba,0.0,4.75655603409,4.75102090836,0.00446009635925,,,,,,,,,,,,,,,,,,,,,,,,,
781,781,10000.0,200.0,1024.0,3.0,numba,numba,1.0,4.75261592865,4.74728870392,0.00447416305542,,,,,,,,,,,,,,,,,,,,,,,,,
782,782,10000.0,200.0,1024.0,3.0,numba,numba,2.0,4.73999094963,4.73450756073,0.00460290908813,,,,,,,,,,,,,,,,,,,,,,,,,
783,783,10000.0,200.0,1024.0,3.0,cuda,numba,0.0,2.1184360981,2.11296820641,0.00458812713623,0.00148678398132,1.0,0.0,0.00148678398132,0.00148678398132,0.00101180800796,3.0,3.7440858169e-06,0.000342016011477,0.000332863986492,8.91519989818e-05,3.0,7.72578687456e-07,3.07519994676e-05,2.88960002363e-05,0.000133663997054,3.0,3.9220803553e-07,4.48319986463e-05,4.39999997616e-05,2.10937982178,3.0,3.97332252126e-05,0.703155944824,0.70307043457
784,784,10000.0,200.0,1024.0,3.0,cuda,numba,1.0,2.11963510513,2.11394381523,0.00460386276245,0.0014254399538,1.0,0.0,0.0014254399538,0.0014254399538,0.000970335990191,3.0,1.11716880423e-05,0.000331551998854,0.000307648003101,9.43359974772e-05,3.0,8.06303561871e-07,3.25759984553e-05,3.07519994676e-05,0.000132288001478,3.0,1.58779456622e-06,4.56640012562e-05,4.19199988246e-05,2.1104487915,3.0,0.000206498127412,0.70373046875,0.703224975586
785,785,10000.0,200.0,1024.0,3.0,cuda,numba,2.0,2.11767983437,2.11205291748,0.00455904006958,0.00143036794662,1.0,0.0,0.00143036794662,0.00143036794662,0.000969184011221,3.0,1.14008977091e-05,0.00033871999383,0.000311904013157,9.59360003471e-05,3.0,4.69090973487e-07,3.24160009623e-05,3.13280001283e-05,0.00013766399771,3.0,8.36092781917e-07,4.69119995832e-05,4.48639988899e-05,2.10861547852,3.0,0.000405674866563,0.703295715332,0.702325073242
786,786,10000.0,200.0,1536.0,3.0,numba,numba,0.0,7.13233494759,7.12497782707,0.00575971603394,,,,,,,,,,,,,,,,,,,,,,,,,
787,787,10000.0,200.0,1536.0,3.0,numba,numba,1.0,7.08808302879,7.08076715469,0.00594210624695,,,,,,,,,,,,,,,,,,,,,,,,,
788,788,10000.0,200.0,1536.0,3.0,numba,numba,2.0,7.1023478508,7.09497189522,0.00599694252014,,,,,,,,,,,,,,,,,,,,,,,,,
789,789,10000.0,200.0,1536.0,3.0,cuda,numba,0.0,3.17662501335,3.16914415359,0.00608611106873,0.00151919996738,1.0,0.0,0.00151919996738,0.00151919996738,0.00122703999281,3.0,4.45320579702e-06,0.000413727998734,0.000403039991856,9.50400028378e-05,3.0,1.62602919791e-06,3.34720015526e-05,2.95359995216e-05,0.000138624001294,3.0,1.66666494557e-06,4.81280013919e-05,4.40640002489e-05,3.16528771973,3.0,0.00019885575711,1.05525244141,1.05481530762
790,790,10000.0,200.0,1536.0,3.0,cuda,numba,1.0,3.17589783669,3.16824889183,0.00607991218567,0.00146614396572,1.0,0.0,0.00146614396572,0.00146614396572,0.00119935998321,3.0,1.09310240343e-05,0.000410367995501,0.000384736001492,9.39520020038e-05,3.0,2.19122270233e-07,3.14880013466e-05,3.10079995543e-05,0.000139200001955,3.0,1.06035508688e-06,4.76480014622e-05,4.50560003519e-05,3.16445593262,3.0,0.000341394057494,1.05517370605,1.05435778809
791,791,10000.0,200.0,1536.0,3.0,cuda,numba,2.0,3.17420506477,3.16668796539,0.00590181350708,0.00147571194172,1.0,0.0,0.00147571194172,0.00147571194172,0.00121318399906,3.0,8.23407096752e-06,0.000412959992886,0.000393279999495,9.52640026808e-05,3.0,1.68546889211e-06,3.39520014822e-05,2.98560000956e-05,0.000139168001711,3.0,1.29967171204e-06,4.80640009046e-05,4.48959991336e-05,3.16292956543,3.0,0.000502534565035,1.05502050781,1.05394812012
792,792,10000.0,200.0,2048.0,3.0,numba,numba,0.0,9.455286026,9.44632005692,0.00710082054138,,,,,,,,,,,,,,,,,,,,,,,,,
