,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
668,10000,"sk=sqrt_2,th=30%",200,260,1.135308027267456,1.135308027267456,0.07798409461975098,0.0635981559753418,,3.0168378353118896,0.6594960689544678,0.06351423263549805,,168,sparse condensed const,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,3,False
669,10000,"sk=sqrt_2,th=30%",200,260,1.1255030632019043,1.1255030632019043,0.07729601860046387,0.0631709098815918,,3.0202910900115967,0.6591949462890625,0.06358098983764648,,168,sparse condensed const,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,4,False
670,10000,"sk=sqrt_2,th=30%",200,260,1.1291260719299316,1.1291260719299316,0.07631802558898926,0.0628659725189209,,3.0117220878601074,0.6678950786590576,0.06312108039855957,,168,sparse condensed linear,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,0,False
671,10000,"sk=sqrt_2,th=30%",200,260,1.1289820671081543,1.1289820671081543,0.07848000526428223,0.06331014633178711,,3.013240098953247,0.660053014755249,0.06364607810974121,,168,sparse condensed linear,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,1,False
672,10000,"sk=sqrt_2,th=30%",200,260,1.120615005493164,1.120615005493164,0.0785679817199707,0.06333613395690918,,3.005966901779175,0.6615340709686279,0.06318402290344238,,168,sparse condensed linear,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,2,False
673,10000,"sk=sqrt_2,th=30%",200,260,1.1308438777923584,1.1308438777923584,0.07663702964782715,0.06306600570678711,,3.024569034576416,0.6602659225463867,0.06319904327392578,,168,sparse condensed linear,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,3,False
674,10000,"sk=sqrt_2,th=30%",200,260,1.1222310066223145,1.1222310066223145,0.07750701904296875,0.06307005882263184,,3.0222091674804688,0.6590662002563477,0.06296586990356445,,168,sparse condensed linear,1352435,0,0,416,135.24350000000001,85.28988572949315,1.0,,6,1.0,,6,4,False
675,10000,"sk=300,th=30%",34,44,2.3360791206359863,2.3360791206359863,0.7256767749786377,0.06224489212036133,,,,,,1709,full,349751720,0,10000,10000,10000.0,0.0,1.0,,6,,,,0,False
676,10000,"sk=300,th=30%",34,44,2.3349828720092773,2.3349828720092773,0.7272989749908447,0.06282806396484375,,,,,,1709,full,349751720,0,10000,10000,10000.0,0.0,1.0,,6,,,,1,False
677,10000,"sk=300,th=30%",34,44,2.335218906402588,2.335218906402588,0.7255029678344727,0.06299901008605957,,,,,,1709,full,349751720,0,10000,10000,10000.0,0.0,1.0,,6,,,,2,False
678,10000,"sk=300,th=30%",34,44,2.335211992263794,2.335211992263794,0.725243091583252,0.06297707557678223,,,,,,1709,full,349751720,0,10000,10000,10000.0,0.0,1.0,,6,,,,3,False
679,10000,"sk=300,th=30%",34,44,2.3351798057556152,2.3351798057556152,0.7246952056884766,0.06330394744873047,,,,,,1709,full,349751720,0,10000,10000,10000.0,0.0,1.0,,6,,,,4,False
680,10000,"sk=300,th=30%",34,44,0.7034389972686768,0.7034389972686768,0.6652021408081055,0.0630040168762207,,,,,,1709,full condensed,174875860,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,0,False
681,10000,"sk=300,th=30%",34,44,0.7042369842529297,0.7042369842529297,0.6639699935913086,0.06270480155944824,,,,,,1709,full condensed,174875860,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,1,False
682,10000,"sk=300,th=30%",34,44,0.7046778202056885,0.7046778202056885,0.6647200584411621,0.06410789489746094,,,,,,1709,full condensed,174875860,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,2,False
683,10000,"sk=300,th=30%",34,44,0.7032840251922607,0.7032840251922607,0.6666049957275391,0.06290507316589355,,,,,,1709,full condensed,174875860,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,3,False
684,10000,"sk=300,th=30%",34,44,0.7039511203765869,0.7039511203765869,0.6640939712524414,0.06351304054260254,,,,,,1709,full condensed,174875860,1,0,9999,4999.5,2886.7513315143719,1.0,,6,,,,4,False
685,10000,"sk=300,th=30%",34,44,15.746231079101562,15.746231079101562,1.3849468231201172,0.06415605545043945,,43.74985194206238,1.0008738040924072,0.06319308280944824,,1709,sparse complete,16670182,0,1571,1708,1667.0182,46.686921817142753,1.0,,6,1.0,,6,0,False
686,10000,"sk=300,th=30%",34,44,15.744349002838135,15.744349002838135,1.3828730583190918,0.06273102760314941,,43.62399101257324,1.0182859897613525,0.06341981887817383,,1709,sparse complete,16670182,0,1571,1708,1667.0182,46.686921817142753,1.0,,6,1.0,,6,1,False
687,10000,"sk=300,th=30%",34,44,15.745774030685425,15.745774030685425,1.3823180198669434,0.062391042709350586,,43.619115114212036,1.013740062713623,0.06270813941955566,,1709,sparse complete,16670182,0,1571,1708,1667.0182,46.686921817142753,1.0,,6,1.0,,6,2,False
688,10000,"sk=300,th=30%",34,44,15.744549036026001,15.744549036026001,1.3787171840667725,0.06383895874023438,,43.709840059280396,1.0187530517578125,0.06283783912658691,,1709,sparse complete,16670182,0,1571,1708,1667.0182,46.686921817142753,1.0,,6,1.0,,6,3,False
689,10000,"sk=300,th=30%",34,44,15.752166032791138,15.752166032791138,1.377793788909912,0.06319713592529297,,43.5638689994812,1.031764030456543,0.06294703483581543,,1709,sparse complete,16670182,0,1571,1708,1667.0182,46.686921817142753,1.0,,6,1.0,,6,4,False
690,10000,"sk=300,th=30%",34,44,10.253443956375122,10.253443956375122,0.641899824142456,0.0634620189666748,,18.075166940689087,0.790194034576416,0.06287693977355957,,1709,sparse condensed const,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,0,False
691,10000,"sk=300,th=30%",34,44,10.252089977264404,10.252089977264404,0.6417579650878906,0.06353402137756348,,18.089706897735596,0.782181978225708,0.06291699409484863,,1709,sparse condensed const,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,1,False
692,10000,"sk=300,th=30%",34,44,10.249612808227539,10.249612808227539,0.6412200927734375,0.06331610679626465,,18.082113027572632,0.780515193939209,0.06280684471130371,,1709,sparse condensed const,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,2,False
693,10000,"sk=300,th=30%",34,44,10.25368618965149,10.25368618965149,0.6389429569244385,0.06348299980163574,,18.058686017990112,0.782628059387207,0.06281304359436035,,1709,sparse condensed const,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,3,False
694,10000,"sk=300,th=30%",34,44,10.254492998123169,10.254492998123169,0.6389169692993164,0.06318092346191406,,18.083029985427856,0.7815871238708496,0.06318187713623047,,1709,sparse condensed const,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,4,False
695,10000,"sk=300,th=30%",34,44,10.242830038070679,10.242830038070679,0.6364960670471191,0.06330299377441406,,18.0402889251709,0.7821509838104248,0.06341409683227539,,1709,sparse condensed linear,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,0,False
696,10000,"sk=300,th=30%",34,44,10.240340948104858,10.240340948104858,0.6560459136962891,0.06271004676818848,,18.086391925811768,0.7807250022888184,0.06296801567077637,,1709,sparse condensed linear,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,1,False
697,10000,"sk=300,th=30%",34,44,10.237762212753296,10.237762212753296,0.6550478935241699,0.06296300888061523,,18.050298929214478,0.7777550220489502,0.06270098686218262,,1709,sparse condensed linear,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,2,False
698,10000,"sk=300,th=30%",34,44,10.243708848953247,10.243708848953247,0.6662330627441406,0.0633997917175293,,18.089192152023315,0.7809150218963623,0.06385397911071777,,1709,sparse condensed linear,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,3,False
699,10000,"sk=300,th=30%",34,44,10.24365782737732,10.24365782737732,0.6615328788757324,0.06335783004760742,,18.06579899787903,0.7820799350738525,0.06354999542236328,,1709,sparse condensed linear,8335091,0,0,1708,833.50909999999999,482.26914945618279,1.0,,6,1.0,,6,4,False
700,25000,sqrt,80,159,7.047762870788574,7.047762870788574,3.9848058223724365,0.15793418884277344,,,,,,1181,full,660961648,0,25000,25000,25000.0,0.0,1.0,,6,,,,0,False
701,25000,sqrt,80,159,7.052236080169678,7.052236080169678,3.991508960723877,0.15578007698059082,,,,,,1181,full,660961648,0,25000,25000,25000.0,0.0,1.0,,6,,,,1,False
702,25000,sqrt,80,159,7.04837703704834,7.04837703704834,3.9907941818237305,0.15485191345214844,,,,,,1181,full,660961648,0,25000,25000,25000.0,0.0,1.0,,6,,,,2,False
703,25000,sqrt,80,159,7.047886848449707,7.047886848449707,3.990673065185547,0.155120849609375,,,,,,1181,full,660961648,0,25000,25000,25000.0,0.0,1.0,,6,,,,3,False
704,25000,sqrt,80,159,7.046328067779541,7.046328067779541,3.9927759170532227,0.15482807159423828,,,,,,1181,full,660961648,0,25000,25000,25000.0,0.0,1.0,,6,,,,4,False
705,25000,sqrt,80,159,3.13516902923584,3.13516902923584,3.6212780475616455,0.15425705909729004,,,,,,1181,full condensed,330480824,1,0,24999,12499.5,7216.8783590968196,1.0,,6,,,,0,False
