running recursive scan test
sum_ref =  445698416
sum_gpu =  [445698416]
CPU took:     1.43504142761  ms
Kernel took:  2.29692459106  ms
True
         887060 function calls (836406 primitive calls) in 1.728 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 _utils.py:1(<module>)
31550/13192    0.025    0.000    0.025    0.000 _utils.py:14(is_used)
     4642    0.006    0.000    0.017    0.000 _utils.py:22(register)
     4569    0.020    0.000    0.035    0.000 _utils.py:29(deduplicate)
       89    0.000    0.000    0.001    0.000 _utils.py:37(get_child)
        1    0.000    0.000    0.000    0.000 _utils.py:4(DuplicatedNameError)
        1    0.000    0.000    0.000    0.000 _utils.py:8(NameScope)
       90    0.000    0.000    0.000    0.000 _utils.py:9(__init__)
        1    0.000    0.000    0.000    0.000 _version.py:18(NumpyVersion)
        3    0.000    0.000    0.000    0.000 _version.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _version.py:9(get_versions)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
       82    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
       31    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       64    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
      149    0.000    0.000    0.000    0.000 _weakrefset.py:70(__contains__)
       46    0.000    0.000    0.000    0.000 _weakrefset.py:83(add)
       15    0.000    0.000    0.001    0.000 abc.py:105(register)
       47    0.000    0.000    0.001    0.000 abc.py:128(__instancecheck__)
    51/40    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
       49    0.000    0.000    0.000    0.000 abc.py:15(abstractmethod)
       21    0.001    0.000    0.002    0.000 abc.py:86(__new__)
       77    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
        1    0.000    0.000    0.071    0.071 add_newdocs.py:10(<module>)
        1    0.000    0.000    0.000    0.000 api.py:1(<module>)
        2    0.000    0.000    0.000    0.000 api.py:120(_prepare_shape_strides_dtype)
        2    0.000    0.000    0.000    0.000 api.py:133(_fill_stride_by_order)
       54    0.000    0.000    0.000    0.000 api.py:155(typeof)
        1    0.000    0.000    0.000    0.000 api.py:18(FFIError)
        1    0.000    0.000    0.000    0.000 api.py:18(stream)
        1    0.000    0.000    0.000    0.000 api.py:21(CDefError)
        1    0.000    0.000    0.000    0.000 api.py:227(cast)
        1    0.000    0.000    0.001    0.001 api.py:23(to_device)
        2    0.000    0.000    0.002    0.001 api.py:3(<module>)
        1    0.000    0.000    0.000    0.000 api.py:30(FFI)
        1    0.000    0.000    0.000    0.000 api.py:316(_get_cached_btype)
        1    0.001    0.001    0.013    0.013 api.py:48(__init__)
        1    0.000    0.000    0.000    0.000 api.py:484(_builtin_function_type)
        1    0.000    0.000    0.000    0.000 api.py:51(Event)
        2    0.000    0.000    0.001    0.000 api.py:62(device_array)
        1    0.000    0.000    0.000    0.000 argpacker.py:1(<module>)
       24    0.000    0.000    0.000    0.000 argpacker.py:109(_flatten)
  960/384    0.001    0.000    0.002    0.000 argpacker.py:113(rec)
       20    0.001    0.000    0.014    0.001 argpacker.py:18(__init__)
        4    0.000    0.000    0.003    0.001 argpacker.py:29(as_arguments)
