,Unnamed: 0,n_samples,rule,kmin,kmax,t_ensemble,t_build,t_sl,t_accuracy_CI,t_accuracy_H,t_sl_disk,t_store,t_accuracy_CI_disk,t_accuracy_H_disk,biggest_cluster,type_mat,n_assocs,n_max_degree,min_degree,max_degree,mean_degree,std_degree,accuracy_CI,accuracy_H,sl_clusts,accuracy_CI_disk,accuracy_H_disk,sl_clusts_disk,round,disk
60,60,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0284287929535,0.0284287929535,0.00164413452148,0.00356101989746,,0.235904932022,0.0362820625305,0.00358891487122,,66.0,sparse complete,27632.0,0.0,29.0,87.0,55.264,12.4924899039,0.842,,5.0,0.842,,5.0,0.0,False
61,61,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0277230739594,0.0277230739594,0.00162506103516,0.00356411933899,,0.238780975342,0.0361580848694,0.00363898277283,,66.0,sparse complete,27632.0,0.0,29.0,87.0,55.264,12.4924899039,0.842,,5.0,0.842,,5.0,1.0,False
62,62,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0285408496857,0.0285408496857,0.00164103507996,0.00351595878601,,0.239432096481,0.0362620353699,0.0035879611969,,66.0,sparse complete,27632.0,0.0,29.0,87.0,55.264,12.4924899039,0.842,,5.0,0.842,,5.0,2.0,False
63,63,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0277099609375,0.0277099609375,0.00163006782532,0.00356292724609,,0.239072084427,0.036162853241,0.00361704826355,,66.0,sparse complete,27632.0,0.0,29.0,87.0,55.264,12.4924899039,0.842,,5.0,0.842,,5.0,3.0,False
64,64,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.028421163559,0.028421163559,0.00162792205811,0.00357389450073,,0.240175962448,0.0362899303436,0.00363898277283,,66.0,sparse complete,27632.0,0.0,29.0,87.0,55.264,12.4924899039,0.842,,5.0,0.842,,5.0,4.0,False
65,65,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.019749879837,0.019749879837,0.00108504295349,0.00352501869202,,0.238821029663,0.0356240272522,0.00366902351379,,66.0,sparse condensed const,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,0.0,False
66,66,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.019809961319,0.019809961319,0.00110602378845,0.00356388092041,,0.234488010406,0.0356810092926,0.00358295440674,,66.0,sparse condensed const,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,1.0,False
67,67,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0196781158447,0.0196781158447,0.00110602378845,0.00356912612915,,0.235305070877,0.0355570316315,0.00362801551819,,66.0,sparse condensed const,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,2.0,False
68,68,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0197548866272,0.0197548866272,0.00109910964966,0.00355100631714,,0.235113143921,0.035453081131,0.00355386734009,,66.0,sparse condensed const,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,3.0,False
69,69,500.0,"sk=sqrt_2,th=30%",46.0,60.0,0.0197591781616,0.0197591781616,0.00108194351196,0.00354909896851,,0.234706878662,0.0355479717255,0.00361108779907,,66.0,sparse condensed const,13816.0,0.0,0.0,83.0,27.632,17.959191964,0.842,,5.0,0.842,,5.0,4.0,False
